bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,11,2,(2) agem^yday + agem^year + date,2738859,-0.0629829,0.0200496,0.00168,-6.29829,-10.228,-2.36858,***
-15_10,1,≤10 °C,≤10 °C,cold,11,3,(3) agem^week + state^year + weekday,2748411,-0.192962,0.0175433,3.8599999999999998e-28,-19.2962,-22.7347,-15.8577,***
-15_10,1,≤10 °C,≤10 °C,cold,11,4,(4) agem + state^year + yday + weekday,2761626,-0.133972,0.0130924,1.4099999999999999e-24,-13.3972,-15.9633,-10.8311,***
-15_10,1,≤10 °C,≤10 °C,cold,11,5,(5) agem^year^month + weekday,2643528,-0.140464,0.0129477,2.03e-27,-14.0464,-16.5841,-11.5086,***
-15_10,1,≤10 °C,≤10 °C,cold,11,6,(6) agem^weekday + agem^year^month,2642643,-0.140867,0.0130456,3.520000000000001e-27,-14.0867,-16.6436,-11.5297,***
-15_10,1,≤10 °C,≤10 °C,cold,11,7,(7) agem^year^month + date,2643528,-0.0369647,0.0144467,0.0105,-3.69647,-6.52802,-0.864925,**
-15_10,1,≤10 °C,≤10 °C,cold,12,1,(1) agem + date,2761626,-0.0601987,0.0195739,0.0021,-6.01987,-9.85637,-2.18338,***
-15_10,1,≤10 °C,≤10 °C,cold,12,2,(2) agem^yday + agem^year + date,2738859,-0.0595174,0.0214715,0.00557,-5.95174,-10.1602,-1.74332,***
-15_10,1,≤10 °C,≤10 °C,cold,12,3,(3) agem^week + state^year + weekday,2748411,-0.190226,0.0187791,4.0799999999999995e-24,-19.0226,-22.7033,-15.3419,***
-15_10,1,≤10 °C,≤10 °C,cold,12,4,(4) agem + state^year + yday + weekday,2761626,-0.125803,0.0134274,7.320000000000001e-21,-12.5803,-15.212,-9.94848,***
-15_10,1,≤10 °C,≤10 °C,cold,12,5,(5) agem^year^month + weekday,2643528,-0.134704,0.0136312,4.9799999999999996e-23,-13.4704,-16.1421,-10.7987,***
-15_10,1,≤10 °C,≤10 °C,cold,12,6,(6) agem^weekday + agem^year^month,2642643,-0.134545,0.013706,9.56e-23,-13.4545,-16.1408,-10.7681,***
-15_10,1,≤10 °C,≤10 °C,cold,12,7,(7) agem^year^month + date,2643528,-0.0314655,0.0150109,0.0361,-3.14655,-6.08868,-0.204417,**
-15_10,1,≤10 °C,≤10 °C,cold,13,1,(1) agem + date,2761626,-0.0598717,0.0206325,0.00371,-5.98717,-10.0311,-1.94321,***
-15_10,1,≤10 °C,≤10 °C,cold,13,2,(2) agem^yday + agem^year + date,2738859,-0.0546974,0.0231366,0.0181,-5.46974,-10.0045,-0.934965,**
-15_10,1,≤10 °C,≤10 °C,cold,13,3,(3) agem^week + state^year + weekday,2748411,-0.193844,0.0205345,3.7300000000000006e-21,-19.3844,-23.4092,-15.3596,***
-15_10,1,≤10 °C,≤10 °C,cold,13,4,(4) agem + state^year + yday + weekday,2761626,-0.124788,0.0143439,3.33e-18,-12.4788,-15.2902,-9.66743,***
-15_10,1,≤10 °C,≤10 °C,cold,13,5,(5) agem^year^month + weekday,2643528,-0.137539,0.0146211,5.110000000000001e-21,-13.7539,-16.6196,-10.8881,***
-15_10,1,≤10 °C,≤10 °C,cold,13,6,(6) agem^weekday + agem^year^month,2642643,-0.137481,0.0146303,5.610000000000001e-21,-13.7481,-16.6156,-10.8805,***
-15_10,1,≤10 °C,≤10 °C,cold,13,7,(7) agem^year^month + date,2643528,-0.0282763,0.0160849,0.0788,-2.82763,-5.98026,0.325008,*
-15_10,1,≤10 °C,≤10 °C,cold,14,1,(1) agem + date,2761626,-0.0570559,0.0213192,0.0074400000000000004,-5.70559,-9.88416,-1.52702,***
-15_10,1,≤10 °C,≤10 °C,cold,14,2,(2) agem^yday + agem^year + date,2738859,-0.0532386,0.0240961,0.0271,-5.32386,-10.0467,-0.601025,**
-15_10,1,≤10 °C,≤10 °C,cold,14,3,(3) agem^week + state^year + weekday,2748411,-0.196354,0.0215465,8.01e-20,-19.6354,-23.8585,-15.4122,***
-15_10,1,≤10 °C,≤10 °C,cold,14,4,(4) agem + state^year + yday + weekday,2761626,-0.122178,0.0147503,1.2e-16,-12.2178,-15.1089,-9.32677,***
-15_10,1,≤10 °C,≤10 °C,cold,14,5,(5) agem^year^month + weekday,2643528,-0.142686,0.0150227,2.14e-21,-14.2686,-17.213,-11.3241,***
