bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,24,12_20,2,12–20,12–20,-0.212185,0.022902,1.95e-20,-21.2185,-25.7073,-16.7297,***
-15_10,1,≤10 °C,≤10 °C,cold,24,20_40,3,20–40,20–40,-0.177683,0.0177586,1.4399999999999997e-23,-17.7683,-21.2489,-14.2876,***
-15_10,1,≤10 °C,≤10 °C,cold,24,40_60,4,40–60,40–60,-0.144724,0.0208889,4.26e-12,-14.4724,-18.5666,-10.3782,***
-15_10,1,≤10 °C,≤10 °C,cold,24,60_80,5,60–80,60–80,-0.0638387,0.0244534,0.00904,-6.38387,-11.1767,-1.59099,***
-15_10,1,≤10 °C,≤10 °C,cold,24,80_130,6,80+,80+,0.0177641,0.0393701,0.652,1.77641,-5.94013,9.49295,
-15_10,1,≤10 °C,≤10 °C,cold,25,0_12,1,0–12,0–12,-0.128915,0.023972,7.54e-8,-12.8915,-17.59,-8.19298,***
-15_10,1,≤10 °C,≤10 °C,cold,25,12_20,2,12–20,12–20,-0.222878,0.0238433,8.960000000000001e-21,-22.2878,-26.9611,-17.6146,***
-15_10,1,≤10 °C,≤10 °C,cold,25,20_40,3,20–40,20–40,-0.176439,0.018301,5.37e-22,-17.6439,-21.2309,-14.0569,***
-15_10,1,≤10 °C,≤10 °C,cold,25,40_60,4,40–60,40–60,-0.146474,0.0214242,8.1e-12,-14.6474,-18.8465,-10.4482,***
-15_10,1,≤10 °C,≤10 °C,cold,25,60_80,5,60–80,60–80,-0.0707243,0.0238207,0.00299,-7.07243,-11.7413,-2.40357,***
-15_10,1,≤10 °C,≤10 °C,cold,25,80_130,6,80+,80+,-0.00799113,0.0403132,0.843,-0.799113,-8.70049,7.10226,
-15_10,1,≤10 °C,≤10 °C,cold,26,0_12,1,0–12,0–12,-0.130974,0.0249492,1.52e-7,-13.0974,-17.9875,-8.20738,***
-15_10,1,≤10 °C,≤10 °C,cold,26,12_20,2,12–20,12–20,-0.232364,0.0248268,8.02e-21,-23.2364,-28.1025,-18.3704,***
-15_10,1,≤10 °C,≤10 °C,cold,26,20_40,3,20–40,20–40,-0.190334,0.0189959,1.2499999999999999e-23,-19.0334,-22.7566,-15.3102,***
-15_10,1,≤10 °C,≤10 °C,cold,26,40_60,4,40–60,40–60,-0.153414,0.021689,1.51e-12,-15.3414,-19.5925,-11.0904,***
-15_10,1,≤10 °C,≤10 °C,cold,26,60_80,5,60–80,60–80,-0.0830535,0.0242138,6.04e-4,-8.30535,-13.0513,-3.55945,***
-15_10,1,≤10 °C,≤10 °C,cold,26,80_130,6,80+,80+,0.005625,0.0411475,0.891,0.5625,-7.50241,8.62741,
-15_10,1,≤10 °C,≤10 °C,cold,27,0_12,1,0–12,0–12,-0.125727,0.0238706,1.39e-7,-12.5727,-17.2514,-7.89411,***
-15_10,1,≤10 °C,≤10 °C,cold,27,12_20,2,12–20,12–20,-0.226892,0.0257967,1.43e-18,-22.6892,-27.7453,-17.633,***
-15_10,1,≤10 °C,≤10 °C,cold,27,20_40,3,20–40,20–40,-0.19094,0.0195383,1.48e-22,-19.094,-22.9235,-15.2645,***
-15_10,1,≤10 °C,≤10 °C,cold,27,40_60,4,40–60,40–60,-0.161059,0.0211151,2.39e-14,-16.1059,-20.2445,-11.9674,***
-15_10,1,≤10 °C,≤10 °C,cold,27,60_80,5,60–80,60–80,-0.0881044,0.0245202,3.27e-4,-8.81044,-13.6164,-4.00447,***
-15_10,1,≤10 °C,≤10 °C,cold,27,80_130,6,80+,80+,-0.0193947,0.0417935,0.643,-1.93947,-10.131,6.25204,
-15_10,1,≤10 °C,≤10 °C,cold,28,0_12,1,0–12,0–12,-0.13249,0.0240617,3.67e-8,-13.249,-17.9651,-8.53294,***
-15_10,1,≤10 °C,≤10 °C,cold,28,12_20,2,12–20,12–20,-0.231855,0.0278889,9.29e-17,-23.1855,-28.6518,-17.7193,***
-15_10,1,≤10 °C,≤10 °C,cold,28,20_40,3,20–40,20–40,-0.197194,0.0212809,1.93e-20,-19.7194,-23.8904,-15.5483,***
-15_10,1,≤10 °C,≤10 °C,cold,28,40_60,4,40–60,40–60,-0.163218,0.0217426,6.06e-14,-16.3218,-20.5834,-12.0603,***
-15_10,1,≤10 °C,≤10 °C,cold,28,60_80,5,60–80,60–80,-0.0960988,0.0255587,1.7e-4,-9.60988,-14.6194,-4.60038,***
-15_10,1,≤10 °C,≤10 °C,cold,28,80_130,6,80+,80+,-0.0314391,0.0427122,0.462,-3.14391,-11.5155,5.22768,
