bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,1,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0140589,0.0082207100000000009,0.0872,1.40589,-0.205366,3.01715,*
10_15,2,10–15 °C,10–15 °C,cold,2,circ,Circulatory,Circulatorias,12187862,0.0460949,0.00582209,2.43e-15,4.60949,3.46836,5.75061,***
10_15,2,10–15 °C,10–15 °C,cold,2,non_circ,Non-circulatory,No circulatorias,15588381,0.0181155,0.00368663,8.93e-7,1.81155,1.08897,2.53413,***
10_15,2,10–15 °C,10–15 °C,cold,2,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0213503,0.00971144,0.0279,2.13503,0.231583,4.03847,**
10_15,2,10–15 °C,10–15 °C,cold,3,circ,Circulatory,Circulatorias,12187862,0.0800266,0.00642727,1.3799999999999998e-35,8.00266,6.74292,9.26241,***
10_15,2,10–15 °C,10–15 °C,cold,3,non_circ,Non-circulatory,No circulatorias,15588381,0.0405411,0.00455705,5.77e-19,4.05411,3.16093,4.94729,***
10_15,2,10–15 °C,10–15 °C,cold,3,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0356331,0.0107594,9.27e-4,3.56331,1.45447,5.67215,***
10_15,2,10–15 °C,10–15 °C,cold,4,circ,Circulatory,Circulatorias,12187862,0.116026,0.00710134,5.25e-60,11.6026,10.2107,12.9944,***
10_15,2,10–15 °C,10–15 °C,cold,4,non_circ,Non-circulatory,No circulatorias,15588381,0.0594265,0.00451679,1.55e-39,5.94265,5.05736,6.82794,***
10_15,2,10–15 °C,10–15 °C,cold,4,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0531227,0.0136894,1.04e-4,5.31227,2.62915,7.99539,***
10_15,2,10–15 °C,10–15 °C,cold,5,circ,Circulatory,Circulatorias,12187862,0.134313,0.00792321,1.8599999999999997e-64,13.4313,11.8784,14.9843,***
10_15,2,10–15 °C,10–15 °C,cold,5,non_circ,Non-circulatory,No circulatorias,15588381,0.076105,0.00484135,1.1099999999999997e-55,7.6105,6.66159,8.5594,***
10_15,2,10–15 °C,10–15 °C,cold,5,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0401106,0.0150872,0.00785,4.01106,1.05396,6.96815,***
10_15,2,10–15 °C,10–15 °C,cold,6,circ,Circulatory,Circulatorias,12187862,0.155475,0.00761889,1.4599999999999998e-92,15.5475,14.0542,17.0408,***
10_15,2,10–15 °C,10–15 °C,cold,6,non_circ,Non-circulatory,No circulatorias,15588381,0.0949281,0.00542659,1.6199999999999996e-68,9.49281,8.4292,10.5564,***
10_15,2,10–15 °C,10–15 °C,cold,6,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0492795,0.0168951,0.00354,4.92795,1.61651,8.23938,***
10_15,2,10–15 °C,10–15 °C,cold,7,circ,Circulatory,Circulatorias,12187862,0.17766,0.00835316,2.2199999999999996e-100,17.766,16.1288,19.4032,***
10_15,2,10–15 °C,10–15 °C,cold,7,non_circ,Non-circulatory,No circulatorias,15588381,0.10538,0.005556,3.1999999999999995e-80,10.538,9.44906,11.627,***
10_15,2,10–15 °C,10–15 °C,cold,7,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0457547,0.0173647,0.00842,4.57547,1.17199,7.97894,***
10_15,2,10–15 °C,10–15 °C,cold,8,circ,Circulatory,Circulatorias,12187862,0.195133,0.00886303,1.9999999999999997e-107,19.5133,17.7762,21.2505,***
10_15,2,10–15 °C,10–15 °C,cold,8,non_circ,Non-circulatory,No circulatorias,15588381,0.114465,0.00638689,7.969999999999998e-72,11.4465,10.1946,12.6983,***
10_15,2,10–15 °C,10–15 °C,cold,8,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0492667,0.0188548,0.00898,4.92667,1.23113,8.62222,***
10_15,2,10–15 °C,10–15 °C,cold,9,circ,Circulatory,Circulatorias,12187862,0.210463,0.00909863,2.2399999999999995e-118,21.0463,19.263,22.8296,***
10_15,2,10–15 °C,10–15 °C,cold,9,non_circ,Non-circulatory,No circulatorias,15588381,0.126441,0.00651574,6.939999999999999e-84,12.6441,11.367,13.9212,***
10_15,2,10–15 °C,10–15 °C,cold,9,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0447379,0.0221564,0.0435,4.47379,0.131133,8.81645,**
10_15,2,10–15 °C,10–15 °C,cold,10,circ,Circulatory,Circulatorias,12187862,0.223259,0.00913441,6.189999999999998e-132,22.3259,20.5356,24.1163,***
10_15,2,10–15 °C,10–15 °C,cold,10,non_circ,Non-circulatory,No circulatorias,15588381,0.137055,0.00656382,8.079999999999999e-97,13.7055,12.4189,14.992,***
10_15,2,10–15 °C,10–15 °C,cold,10,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0671392,0.0209686,0.00137,6.71392,2.60407,10.8238,***
10_15,2,10–15 °C,10–15 °C,cold,11,circ,Circulatory,Circulatorias,12187862,0.236896,0.00999585,3.659999999999999e-124,23.6896,21.7304,25.6488,***
10_15,2,10–15 °C,10–15 °C,cold,11,non_circ,Non-circulatory,No circulatorias,15588381,0.143155,0.00677307,3.719999999999999e-99,14.3155,12.988,15.6431,***
10_15,2,10–15 °C,10–15 °C,cold,11,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0655903,0.0236229,0.00549,6.55903,1.92894,11.1891,***
10_15,2,10–15 °C,10–15 °C,cold,12,circ,Circulatory,Circulatorias,12187862,0.254987,0.00928767,6.159999999999998e-166,25.4987,23.6784,27.3191,***
10_15,2,10–15 °C,10–15 °C,cold,12,non_circ,Non-circulatory,No circulatorias,15588381,0.151591,0.00728142,2.909999999999999e-96,15.1591,13.732,16.5863,***
10_15,2,10–15 °C,10–15 °C,cold,12,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0795308,0.0248045,0.00134,7.95308,3.0914,12.8148,***
