hid,agem_mode,mode_share,clues_ent,mode_ent
MCSSA008320,15114,0.9141902025017384,15,15
MCSSA008863,15120,0.9781885259182631,15,15
MCSSA008945,15122,0.9829239756093395,15,15
MCSSA009510,15123,0.9927587265471225,15,15
MCSSA009826,15081,0.9614451147631926,15,15
MCSSA010053,15045,0.8522334622012303,15,15
MCSSA010111,15001,0.871910963301997,15,15
MCSSA010123,15014,0.5037621135016207,15,15
MCSSA010222,15106,0.44689409630098764,15,15
MCSSA010246,15087,0.9625574715280774,15,15
MCSSA010251,15040,0.6345359521200371,15,15
MCSSA010263,15117,0.93426446580809,15,15
MCSSA010280,15033,0.9722165150440041,15,15
MCSSA010292,15058,0.8978477731521483,15,15
MCSSA010345,15109,0.8238631489945716,15,15
MCSSA010683,15051,0.908226233007006,15,15
MCSSA010811,15031,0.8277089291388624,15,15
MCSSA010963,15099,0.756431054461182,15,15
MCSSA014101,15112,0.934475509175141,15,15
MCSSA014143,15092,0.1784116564059415,15,15
MCSSA014632,15030,0.4516061801811816,15,15
MCSSA014641,15057,0.6623544631306598,15,15
MCSSA015262,15052,0.7445137240109171,15,15
MCSSA017065,15039,0.99001322262465,15,15
MCSSA017082,15067,0.9534411310636224,15,15
MCSSA018062,15115,0.6560048418730081,15,15
MCSSA018412,15099,0.7152907781657335,15,15
MCSSA018453,15025,0.7901594302892908,15,15
MCSSA018552,15036,0.40889032895142874,15,15
MCSSA018564,15124,0.9253127940612693,15,15
MCSSA018593,15086,0.9894121488207217,15,15
MCSSA018610,15047,0.969906015259254,15,15
MCSSA018622,15070,0.7153583126372242,15,15
MCSSA018675,15060,0.9958391667133337,15,15
MCSSA018680,15031,0.9633823694975044,15,15
MCSSA018733,15013,0.33172847997460453,15,15
MCSSA018750,15009,0.3883946240814992,15,15
MCSSA018774,15120,0.31989842619659253,15,15
MNIMO000244,16009,0.7258064516129032,16,16
MNIMO000425,16015,0.8276699029126213,16,16
MNIMO001125,16038,0.7638376383763837,16,16
MNIMO001796,16065,0.6902404526166902,16,16
MNIMO002764,16098,0.5,16,16
MNIMO003942,16104,0.32941176470588235,16,16
MNIMO003954,16012,0.7633136094674556,16,16
MNSSA000170,16006,0.9898744992091256,16,16
MNSSA000310,16010,0.9920469655535764,16,16
MNSSA000462,16014,0.9397510315406672,16,16
MNSSA000836,16024,0.5349992871835604,16,16
MNSSA001722,16052,0.9737104288280197,16,16
MNSSA001862,16053,0.9160287251439813,16,16
MNSSA001874,16053,0.8574412583846546,16,16
MNSSA001891,16053,0.9450059525255715,16,16
MNSSA001903,16053,0.4963969865705863,16,16
MNSSA002142,16055,0.9207957678265405,16,16
MNSSA002446,16066,0.7326255278113267,16,16
MNSSA002813,16076,0.690575909723603,16,16
MNSSA002965,16082,0.940484241850399,16,16
MNSSA003735,16102,0.9335560008906703,16,16
MNSSA003945,16108,0.66748765563352,16,16
MNSSA004044,16112,0.8311604646374752,16,16
MNSSA005275,16107,0.7467970914127424,16,16
MNSSA005280,16066,0.5057948055196565,16,16
MNSSA005345,16053,0.5396774193548387,16,16
MNSSA005456,16053,0.5633236542327451,16,16
MNSSA016475,16050,0.7877168254071715,16,16
MNSSA016480,16071,0.8298143851508121,16,16
MNSSA016492,16034,0.8419495123645815,16,16
MNSSA016504,16099,0.912106309511353,16,16
MNSSA016516,16013,0.5144458913633655,16,16
MNSSA016521,16075,0.7565182414223081,16,16
MNSSA016533,16069,0.7341495236702696,16,16
MNSSA016545,16035,0.9773715833121773,16,16
MNSSA016550,16008,0.9649917172832689,16,16
MNSSA016731,16045,1,16,16
MNSSA017400,16006,0.7618250780901383,16,16
MSSSA000080,17003,0.7791590326126786,17,17
MSSSA000355,17006,0.8027257259088062,17,17
MSSSA000454,17007,0.4900853578463559,17,17
MSSSA000466,17007,0.5552345171847446,17,17
MSSSA000961,17012,0.41451931841003536,17,17
MSSSA001504,17015,0.3015455153728871,17,17
MSSSA002344,17017,0.873382517671598,17,17
MSSSA002361,17029,0.5073321452094068,17,17
MSSSA002373,17018,0.8358998862894056,17,17
MSSSA002385,17016,0.4998557023795989,17,17
MSSSA002740,17013,0.3254521888087748,17,17
MSSSA002863,17008,0.21860018600186001,17,17
MSSSA003020,17003,0.6645772353233556,17,17
MSSSA003131,17012,0.33875236294896033,17,17
NLSSA000732,19011,0.8222397130778406,19,19
NLSSA000855,19014,0.7233888974437943,19,19
NLSSA001263,19017,0.96029452884705,19,19
NLSSA002581,19033,0.9730374561885056,19,19
NLSSA002972,19038,0.9303974716168837,19,19
NLSSA003141,19039,0.9619047619047619,19,19
NLSSA003153,19039,0.3960249367323005,19,19
NLSSA003911,19044,0.9386631361988296,19,19
NLSSA004046,19046,0.40896448143574055,19,19
NLSSA004915,19021,0.9035651665692578,19,19
NLSSA004920,19041,0.9670450735258898,19,19
NLSSA004932,19017,0.9357128371527074,19,19
