bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,5,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0892419,0.00418314,5.519999999999999e-101,-8.92419,-9.74409,-8.1043,***
10_15,2,10–15 °C,10–15 °C,cold,5,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.044445900000000003,0.00599632,1.24e-13,-4.44459,-5.61987,-3.26931,***
10_15,2,10–15 °C,10–15 °C,cold,6,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0956158,0.00537422,8.21e-71,-9.56158,-10.6149,-8.50823,***
10_15,2,10–15 °C,10–15 °C,cold,6,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.040511900000000003,0.00649837,4.54e-10,-4.05119,-5.32487,-2.77751,***
10_15,2,10–15 °C,10–15 °C,cold,7,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0912896,0.00540957,6.809999999999999e-64,-9.12896,-10.1892,-8.06869,***
10_15,2,10–15 °C,10–15 °C,cold,7,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0398509,0.00670463,2.79e-9,-3.98509,-5.2992,-2.67098,***
10_15,2,10–15 °C,10–15 °C,cold,8,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0937282,0.00554023,3.3299999999999997e-64,-9.37282,-10.4587,-8.28694,***
10_15,2,10–15 °C,10–15 °C,cold,8,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0439455,0.00778587,1.66e-8,-4.39455,-5.92058,-2.86851,***
10_15,2,10–15 °C,10–15 °C,cold,9,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0956306,0.00565683,4.11e-64,-9.56306,-10.6718,-8.45432,***
10_15,2,10–15 °C,10–15 °C,cold,9,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0453189,0.00828238,4.46e-8,-4.53189,-6.15523,-2.90854,***
10_15,2,10–15 °C,10–15 °C,cold,10,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.090137900000000007,0.00597743,2.2e-51,-9.01379,-10.1854,-7.84221,***
10_15,2,10–15 °C,10–15 °C,cold,10,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0436046,0.00847493,2.67e-7,-4.36046,-6.02154,-2.69937,***
10_15,2,10–15 °C,10–15 °C,cold,11,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0893816,0.00630016,1.1e-45,-8.93816,-10.173,-7.70333,***
10_15,2,10–15 °C,10–15 °C,cold,11,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0465222,0.0084965,4.36e-8,-4.65222,-6.31753,-2.9869,***
10_15,2,10–15 °C,10–15 °C,cold,12,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0869073,0.0065,9.009999999999999e-41,-8.69073,-9.96473,-7.41673,***
10_15,2,10–15 °C,10–15 °C,cold,12,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0472446,0.00899431,1.5e-7,-4.72446,-6.48734,-2.96157,***
10_15,2,10–15 °C,10–15 °C,cold,13,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0877285,0.00718401,2.69e-34,-8.77285,-10.1809,-7.36479,***
10_15,2,10–15 °C,10–15 °C,cold,13,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0493667,0.00992274,6.52e-7,-4.93667,-6.88153,-2.99182,***
10_15,2,10–15 °C,10–15 °C,cold,14,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0940258,0.00792174,1.71e-32,-9.40258,-10.9552,-7.84992,***
10_15,2,10–15 °C,10–15 °C,cold,14,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0542062,0.0111363,1.13e-6,-5.42062,-7.60334,-3.23791,***
10_15,2,10–15 °C,10–15 °C,cold,15,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0965125,0.00759065,4.899999999999999e-37,-9.65125,-11.139,-8.16348,***
10_15,2,10–15 °C,10–15 °C,cold,15,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0577874,0.0110683,1.78e-7,-5.77874,-7.94812,-3.60936,***
10_15,2,10–15 °C,10–15 °C,cold,16,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.100693,0.00812181,2.68e-35,-10.0693,-11.6612,-8.47745,***
10_15,2,10–15 °C,10–15 °C,cold,16,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0615872,0.0120399,3.13e-7,-6.15872,-8.51855,-3.7989,***
10_15,2,10–15 °C,10–15 °C,cold,17,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.099842,0.00836826,8.16e-33,-9.9842,-11.6244,-8.34402,***
10_15,2,10–15 °C,10–15 °C,cold,17,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0675328,0.0120991,2.38e-8,-6.75328,-9.1247,-4.38187,***
10_15,2,10–15 °C,10–15 °C,cold,18,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.101082,0.00828582,3.13e-34,-10.1082,-11.7322,-8.48416,***
10_15,2,10–15 °C,10–15 °C,cold,18,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0715486,0.0115774,6.41e-10,-7.15486,-9.42403,-4.88569,***
10_15,2,10–15 °C,10–15 °C,cold,19,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0991991,0.00884641,3.5000000000000003e-29,-9.91991,-11.6538,-8.18601,***
10_15,2,10–15 °C,10–15 °C,cold,19,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0680567,0.0119593,1.27e-8,-6.80567,-9.14969,-4.46166,***
10_15,2,10–15 °C,10–15 °C,cold,20,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0995782,0.00880034,1.1000000000000001e-29,-9.95782,-11.6827,-8.23295,***
10_15,2,10–15 °C,10–15 °C,cold,20,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0683924,0.0124738,4.18e-8,-6.83924,-9.28411,-4.39437,***
