bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
15_20,3,15–20 °C,15–20 °C,cold,9,female,1,Women,Mujeres,-0.0363563,0.00404137,2.34e-19,-3.63563,-4.42774,-2.84353,***
15_20,3,15–20 °C,15–20 °C,cold,9,male,2,Men,Hombres,-0.0327237,0.00458918,9.99e-13,-3.27237,-4.17185,-2.37289,***
15_20,3,15–20 °C,15–20 °C,cold,10,female,1,Women,Mujeres,-0.0332056,0.00442482,6.17e-14,-3.32056,-4.18782,-2.4533,***
15_20,3,15–20 °C,15–20 °C,cold,10,male,2,Men,Hombres,-0.0278444,0.00472507,3.79e-9,-2.78444,-3.71055,-1.85833,***
15_20,3,15–20 °C,15–20 °C,cold,11,female,1,Women,Mujeres,-0.0319411,0.00454028,1.99e-12,-3.19411,-4.084,-2.30421,***
15_20,3,15–20 °C,15–20 °C,cold,11,male,2,Men,Hombres,-0.0250551,0.00483112,2.15e-7,-2.50551,-3.45241,-1.55861,***
15_20,3,15–20 °C,15–20 °C,cold,12,female,1,Women,Mujeres,-0.0298534,0.00466448,1.55e-10,-2.98534,-3.89958,-2.0711,***
15_20,3,15–20 °C,15–20 °C,cold,12,male,2,Men,Hombres,-0.0211202,0.00490297,1.65e-5,-2.11202,-3.073,-1.15103,***
15_20,3,15–20 °C,15–20 °C,cold,13,female,1,Women,Mujeres,-0.0328957,0.00512191,1.34e-10,-3.28957,-4.29346,-2.28567,***
15_20,3,15–20 °C,15–20 °C,cold,13,male,2,Men,Hombres,-0.0233162,0.00568952,4.17e-5,-2.33162,-3.44677,-1.21647,***
15_20,3,15–20 °C,15–20 °C,cold,14,female,1,Women,Mujeres,-0.037183,0.00571445,7.67e-11,-3.7183,-4.83833,-2.59827,***
15_20,3,15–20 °C,15–20 °C,cold,14,male,2,Men,Hombres,-0.0280741,0.00606111,3.62e-6,-2.80741,-3.99538,-1.61943,***
15_20,3,15–20 °C,15–20 °C,cold,15,female,1,Women,Mujeres,-0.0375767,0.00532256,1.67e-12,-3.75767,-4.80089,-2.71444,***
15_20,3,15–20 °C,15–20 °C,cold,15,male,2,Men,Hombres,-0.0276244,0.00577631,1.73e-6,-2.76244,-3.8946,-1.63028,***
15_20,3,15–20 °C,15–20 °C,cold,16,female,1,Women,Mujeres,-0.0390297,0.00553978,1.85e-12,-3.90297,-4.98876,-2.81717,***
15_20,3,15–20 °C,15–20 °C,cold,16,male,2,Men,Hombres,-0.0283928,0.00625391,5.63e-6,-2.83928,-4.06505,-1.61352,***
15_20,3,15–20 °C,15–20 °C,cold,17,female,1,Women,Mujeres,-0.0378511,0.00554393,8.64e-12,-3.78511,-4.87172,-2.6985,***
15_20,3,15–20 °C,15–20 °C,cold,17,male,2,Men,Hombres,-0.0276502,0.00659286,2.74e-5,-2.76502,-4.05722,-1.47282,***
15_20,3,15–20 °C,15–20 °C,cold,18,female,1,Women,Mujeres,-0.0409069,0.00546451,7.1e-14,-4.09069,-5.16173,-3.01965,***
15_20,3,15–20 °C,15–20 °C,cold,18,male,2,Men,Hombres,-0.0283039,0.00674548,2.72e-5,-2.83039,-4.1525,-1.50828,***
15_20,3,15–20 °C,15–20 °C,cold,19,female,1,Women,Mujeres,-0.0401732,0.00566904,1.38e-12,-4.01732,-5.12845,-2.90618,***
15_20,3,15–20 °C,15–20 °C,cold,19,male,2,Men,Hombres,-0.0283285,0.00691215,4.16e-5,-2.83285,-4.18763,-1.47807,***
15_20,3,15–20 °C,15–20 °C,cold,20,female,1,Women,Mujeres,-0.0419725,0.00581208,5.14e-13,-4.19725,-5.33642,-3.05808,***
